Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
ARUPPUKKOTTAI,207,RAMACHANDRAN. K.K.S.S.R,Dravida Munnetra Kazhagam,KARTHIK KUMAR. K,Tamilaga Vettri Kazhagam,3510,18/20,Result in Progress
ATHOOR,129,I. PERIASAMY,Dravida Munnetra Kazhagam,N. KALAISELVI,Tamilaga Vettri Kazhagam,21859,22/25,Result in Progress
ATTUR,82,JAYASANKARAN. A.P.,All India Anna Dravida Munnetra Kazhagam,SELVABHARATHI. R.,Tamilaga Vettri Kazhagam,15305,22/23,Result in Progress
AVADI,6,R.RAMESH KUMAR,Tamilaga Vettri Kazhagam,S.M.NASAR,Dravida Munnetra Kazhagam,53556,19/26,Result in Progress
AVANASHI,112,KAMALI.S,Tamilaga Vettri Kazhagam,DR. L. MURUGAN,Bharatiya Janata Party,11284,24/27,Result in Progress
BARGUR,52,E.C. GOVINDARASAN,All India Anna Dravida Munnetra Kazhagam,E. MURALIDHARAN,Tamilaga Vettri Kazhagam,99,18/24,Result in Progress
BHAVANI,104,KARUPPANAN. K.C,All India Anna Dravida Munnetra Kazhagam,BALAKRISHNAN,Tamilaga Vettri Kazhagam,6479,20/22,Result in Progress
BHAVANISAGAR,107,V.P.TAMILSELVI,Tamilaga Vettri Kazhagam,A.BANNARI,All India Anna Dravida Munnetra Kazhagam,4569,24/24,Result Declared
BHUVANAGIRI,157,ARUNMOZHITHEVAN . A,All India Anna Dravida Munnetra Kazhagam,SARAVANAN. DURAI . K,Dravida Munnetra Kazhagam,6146,19/22,Result in Progress
BODINAYAKANUR,200,PANNEERSELVAM.O,Dravida Munnetra Kazhagam,PRAKASH.S,Tamilaga Vettri Kazhagam,4690,22/25,Result in Progress
CHENGALPATTU,32,S. THIYAGARAJAN,Tamilaga Vettri Kazhagam,KARTHIKDHANDAPANI,Dravida Munnetra Kazhagam,19769,19/36,Result in Progress
CHENGAM,62,S.VELU,All India Anna Dravida Munnetra Kazhagam,K BHARATHIDHASAN,Tamilaga Vettri Kazhagam,13192,19/25,Result in Progress
CHEPAUK-THIRUVALLIKENI,19,UDHAYANIDHI STALIN,Dravida Munnetra Kazhagam,SELVAM. D,Tamilaga Vettri Kazhagam,9763,15/17,Result in Progress
CHEYYAR,68,MUKKUR N. SUBRAMANIAN,All India Anna Dravida Munnetra Kazhagam,DUSI K MOHAN,Tamilaga Vettri Kazhagam,21081,24/24,Result in Progress
CHEYYUR,34,RAJASEKAR. E,All India Anna Dravida Munnetra Kazhagam,MOHAN RAJA.M.G.K,Tamilaga Vettri Kazhagam,5668,22/22,Result Declared
CHIDAMBARAM,158,THAMIMUN ANSARI. M,Dravida Munnetra Kazhagam,PANDIAN. K.A,All India Anna Dravida Munnetra Kazhagam,5453,17/22,Result in Progress
COIMBATORE (NORTH),118,V. SAMPATHKUMAR,Tamilaga Vettri Kazhagam,DURAI. SENTHAMIL SELVAN B.E,Dravida Munnetra Kazhagam,14005,16/25,Result in Progress
COIMBATORE (SOUTH),120,V SENTHILBALAJI,Dravida Munnetra Kazhagam,V. SENTHILKUMAR,Tamilaga Vettri Kazhagam,4710,17/20,Result in Progress
COLACHAL,231,THARAHAI CUTHBERT,Indian National Congress,PREM ALEX LAWRENCE,Tamilaga Vettri Kazhagam,2347,19/23,Result in Progress
COONOOR,110,M. RAJU,Dravida Munnetra Kazhagam,A. RAMU,All India Anna Dravida Munnetra Kazhagam,8099,18/18,Result Declared
CUDDALORE,155,B.RAJKUMAR,Tamilaga Vettri Kazhagam,A.S.CHANDARASEKARAN,Indian National Congress,14659,17/19,Result in Progress
CUMBUM,201,ERAMAKRISHNAN N,Dravida Munnetra Kazhagam,JEGANATHMISHRA PLA,Tamilaga Vettri Kazhagam,1880,17/25,Result in Progress
DHARAPURAM,101,SATHYABAMA.P,All India Anna Dravida Munnetra Kazhagam,INDIRANI.T,Dravida Munnetra Kazhagam,16579,23/24,Result in Progress
DHARMAPURI,59,SOWMIYA ANBUMANI,Pattali Makkal Katchi,SIVAN. M.,Tamilaga Vettri Kazhagam,20896,23/23,Result in Progress
DINDIGUL,132,SENTHILKUMAR. I.P,Dravida Munnetra Kazhagam,NAZEER RAJA. G,Tamilaga Vettri Kazhagam,1131,26/26,Result in Progress
DR.RADHAKRISHNAN NAGAR,11,N. MARIE WILSON,Tamilaga Vettri Kazhagam,J. JOHN EBENEZER,Dravida Munnetra Kazhagam,35804,13/18,Result in Progress
EDAPPADI,86,EDAPPADI PALANISWAMI. K,All India Anna Dravida Munnetra Kazhagam,PREMKUMAR. K,Independent,98110,25/25,Result in Progress
EGMORE,16,RAJMOHAN,Tamilaga Vettri Kazhagam,TAMILAN PRASANNA,Dravida Munnetra Kazhagam,10804,15/15,Result in Progress
ERODE (EAST),98,M.VIJAY BALAJI,Tamilaga Vettri Kazhagam,GOPINATH PALANIYAPPAN,Indian National Congress,23966,20/20,Result Declared
ERODE (WEST),99,ANANTH MOGHAN K.K.,Tamilaga Vettri Kazhagam,S. MUTHUSAMY,Dravida Munnetra Kazhagam,23101,22/24,Result in Progress
GANDHARVAKOTTAI,178,N. SUBRAMANIAN,Tamilaga Vettri Kazhagam,C. UTHAYAKUMAR,Bharatiya Janata Party,9962,17/18,Result in Progress
GANGAVALLI,81,NALLATHAMBI. A,All India Anna Dravida Munnetra Kazhagam,CHINNADURAI. K,Dravida Munnetra Kazhagam,14141,20/20,Result in Progress
GINGEE,70,GANESHKUMAR A,Pattali Makkal Katchi,CHANDRASEKARAN B,Tamilaga Vettri Kazhagam,9638,14/23,Result in Progress
GOBICHETTIPALAYAM,106,SENGOTTAIYAN.K.A,Tamilaga Vettri Kazhagam,NALLASIVAM.N,Dravida Munnetra Kazhagam,16620,23/23,Result Declared
GUDALUR,109,DHRAVIDAMANI.M,Dravida Munnetra Kazhagam,PON.JAYASEELAN,All India Anna Dravida Munnetra Kazhagam,22833,18/18,Result Declared
GUDIYATTAM,46,K.SINDU,Tamilaga Vettri Kazhagam,K.B.PRADAP,Desiya Murpokku Dravida Kazhagam,7114,21/23,Result in Progress
GUMMIDIPOONDI,1,S.VIJAYAKUMAR,Tamilaga Vettri Kazhagam,SUDHAKAR.V,All India Anna Dravida Munnetra Kazhagam,27275,22/25,Result in Progress
HARBOUR,18,P K SEKARBABU,Dravida Munnetra Kazhagam,SINORA P S ASHOK,Tamilaga Vettri Kazhagam,10520,13/14,Result in Progress
HARUR,61,SAMPATHKUMAR. V,All India Anna Dravida Munnetra Kazhagam,SHANMUGAM. A,Dravida Munnetra Kazhagam,3933,22/23,Result in Progress
HOSUR,55,BALAKRISHNAREDDY. P,All India Anna Dravida Munnetra Kazhagam,VENDARKARASAN.S,Tamilaga Vettri Kazhagam,22671,24/32,Result in Progress
JAYANKONDAM,150,VAITHILINGAM G.,Pattali Makkal Katchi,KANNAN KA.SO.KA.,Dravida Munnetra Kazhagam,18173,23/23,Result in Progress
JOLARPET,49,VEERAMANI K.C.,All India Anna Dravida Munnetra Kazhagam,MUNISAMY C,Tamilaga Vettri Kazhagam,15308,19/21,Result in Progress
KADAYANALLUR,221,RAJENDRAN. T. M,Dravida Munnetra Kazhagam,C. KRISHNAMURALI,All India Anna Dravida Munnetra Kazhagam,11508,20/26,Result in Progress
KALASAPAKKAM,65,AGRI KRISHNAMURTHY. S S,All India Anna Dravida Munnetra Kazhagam,SARAVANAN. P.S.T,Dravida Munnetra Kazhagam,17997,15/22,Result in Progress
KALLAKURICHI,80,ARUL VIGNESH C,Tamilaga Vettri Kazhagam,RAJEEVGANDHI S,All India Anna Dravida Munnetra Kazhagam,1029,22/27,Result in Progress
KANCHEEPURAM,37,R.V. RANJITHKUMAR,Tamilaga Vettri Kazhagam,V. SOMASUNDARAM,All India Anna Dravida Munnetra Kazhagam,11192,20/26,Result in Progress
KANGAYAM,102,NSN NATARAJ,All India Anna Dravida Munnetra Kazhagam,MANI GOUNDER,Tamilaga Vettri Kazhagam,9515,19/23,Result in Progress
KANNIYAKUMARI,229,THALAVAI SUNDARAM. N,All India Anna Dravida Munnetra Kazhagam,MAHESH.R,Dravida Munnetra Kazhagam,4581,21/26,Result in Progress
KARAIKUDI,184,DR.PRABHU. TK,Tamilaga Vettri Kazhagam,MANGUDI. S,Indian National Congress,34172,19/28,Result in Progress
KARUR,135,M.R. VIJAYABHASKAR,All India Anna Dravida Munnetra Kazhagam,MATHIYALAGAN V.P,Tamilaga Vettri Kazhagam,4000,16/21,Result in Progress
KATPADI,40,DR M SUDHAKAR,Tamilaga Vettri Kazhagam,DURAIMURUGAN,Dravida Munnetra Kazhagam,4822,15/20,Result in Progress
KATTUMANNARKOIL,159,L.E. JOTHIMANI,Viduthalai Chiruthaigal Katchi,A. SOZHAN,Pattali Makkal Katchi,25152,18/21,Result in Progress
KAVUNDAMPALAYAM,117,KANIMOZHI SANTHOSH,Tamilaga Vettri Kazhagam,ARUNKUMAR PRG,All India Anna Dravida Munnetra Kazhagam,42140,28/28,Result Declared
KILLIYOOR,234,RAJESH KUMAR. S,Indian National Congress,SABIN. S,Tamilaga Vettri Kazhagam,3217,19/22,Result in Progress
KILPENNATHUR,64,RAMACHANDRAN.S,All India Anna Dravida Munnetra Kazhagam,PITCHANDI.K,Dravida Munnetra Kazhagam,29935,19/22,Result in Progress
KILVAITHINANKUPPAM,45,THENRAL KUMAR. E,Tamilaga Vettri Kazhagam,DR. RAJESWARI. R,Dravida Munnetra Kazhagam,13379,13/19,Result in Progress
KILVELUR,164,LATHA. T,Communist Party of India (Marxist),SENTHIL PANDIAN. P,Tamilaga Vettri Kazhagam,2131,16/17,Result in Progress
KINATHUKADAVU,122,VIGNESH K,Tamilaga Vettri Kazhagam,SABARI KARTHIKEYAN K.V.K.S,Dravida Munnetra Kazhagam,11710,31/31,Result in Progress
KOLATHUR,13,V. S. BABU,Tamilaga Vettri Kazhagam,M. K. STALIN,Dravida Munnetra Kazhagam,8795,22/22,Result in Progress
KOVILPATTI,218,BALASUBRAMANIAN.S,Tamilaga Vettri Kazhagam,KARUNANITHI.K,Dravida Munnetra Kazhagam,511,21/23,Result in Progress
KRISHNAGIRI,53,MUKUNDHAN.P,Tamilaga Vettri Kazhagam,ASHOKKUMAR.K,All India Anna Dravida Munnetra Kazhagam,19571,23/25,Result in Progress
KRISHNARAYAPURAM,136,SATHYA. M,Tamilaga Vettri Kazhagam,DR. DHIVYA. S,All India Anna Dravida Munnetra Kazhagam,3446,16/20,Result in Progress
KULITHALAI,137,G.BALASUBRAMANI,Tamilaga Vettri Kazhagam,SURIYANUR. A. CHANDRAN,Dravida Munnetra Kazhagam,1318,17/21,Result in Progress
KUMARAPALAYAM,97,C.VIJAYALAKSHMI,Tamilaga Vettri Kazhagam,P.THANGAMANI,All India Anna Dravida Munnetra Kazhagam,7424,20/24,Result in Progress
KUMBAKONAM,171,VINOTH,Tamilaga Vettri Kazhagam,ANBALAGAN G,Dravida Munnetra Kazhagam,432,20/22,Result in Progress
KUNNAM,148,SIVASANKAR. S.S,Dravida Munnetra Kazhagam,SARANYA. A,All India Anna Dravida Munnetra Kazhagam,15827,23/25,Result in Progress
KURINJIPADI,156,M.R.K.PANNEERSELVAM,Dravida Munnetra Kazhagam,A BHUVANENTHIRAN,All India Anna Dravida Munnetra Kazhagam,3827,18/20,Result in Progress
LALGUDI,143,LEEMAROSE MARTIN,All India Anna Dravida Munnetra Kazhagam,KU PA KRISHNAN,Tamilaga Vettri Kazhagam,1106,18/22,Result in Progress
MADATHUKULAM,126,R JAYARAMAKRISHNAN,Dravida Munnetra Kazhagam,C SHANMUGAVELU,Amma Makkal Munnettra Kazagam,10607,18/21,Result in Progress
MADAVARAM,9,M.L.VIJAYPRABHU,Tamilaga Vettri Kazhagam,S.SUDHARSANAM,Dravida Munnetra Kazhagam,94985,19/19,Result in Progress
MADURAI CENTRAL,193,MADHAR BADHURUDEEN,Tamilaga Vettri Kazhagam,PALANIVEL THIAGA RAJAN,Dravida Munnetra Kazhagam,19128,19/19,Result Declared
MADURAI EAST,189,KARTHIKEYAN S,Tamilaga Vettri Kazhagam,MOORTHY P,Dravida Munnetra Kazhagam,16547,29/29,Result in Progress
MADURAI NORTH,191,A.KALLANAI,Tamilaga Vettri Kazhagam,G.THALAPATHI,Dravida Munnetra Kazhagam,18038,19/19,Result in Progress
MADURAI SOUTH,192,M.M.GOPISON,Tamilaga Vettri Kazhagam,M.BOOMINATHAN,Dravida Munnetra Kazhagam,21529,17/17,Result in Progress
MADURAI WEST,194,THANGAPANDI SR,Tamilaga Vettri Kazhagam,BALAJI R,Dravida Munnetra Kazhagam,11291,23/24,Result in Progress
MADURANTAKAM,35,MARAGATHAM KUMARAVEL.K,All India Anna Dravida Munnetra Kazhagam,EZHIL KATHARINE EZHILMALAI,Tamilaga Vettri Kazhagam,7548,20/22,Result in Progress
MADURAVOYAL,7,RHEVANTH CHARAN,Tamilaga Vettri Kazhagam,GANAPATHY. K,Dravida Munnetra Kazhagam,50607,18/25,Result in Progress
MAILAM,71,SHANMUGAM C VE,All India Anna Dravida Munnetra Kazhagam,VIJAY NIRANJAN A,Tamilaga Vettri Kazhagam,30041,21/21,Result in Progress
MANACHANALLUR,144,KATHIRAVAN. S,Dravida Munnetra Kazhagam,V.SARAVANAN,Tamilaga Vettri Kazhagam,12364,22/22,Result Declared
MANAMADURAI,187,ELANGOVAN.D,Tamilaga Vettri Kazhagam,TAMILARASI.A,Dravida Munnetra Kazhagam,6535,16/27,Result in Progress
MANAPPARAI,138,R. KATHIRAVAN,Tamilaga Vettri Kazhagam,DR. PL. VIJAYAKUMAR,All India Anna Dravida Munnetra Kazhagam,1803,24/25,Result in Progress
MANNARGUDI,167,KAMARAJ. S,Amma Makkal Munnettra Kazagam,RAJAA.T.R.B,Dravida Munnetra Kazhagam,2057,21/22,Result in Progress
MAYILADUTHURAI,161,JAMAL MOHAMED YOUNOOS. Y.N,Indian National Congress,PALANISAMY. A  M.COM.,Pattali Makkal Katchi,10694,21/22,Result in Progress
MELUR,188,P.VISWANATHAN,Indian National Congress,A.MADURAIVEERAN,Tamilaga Vettri Kazhagam,2724,21/21,Result Declared
METTUPPALAYAM,111,SUNILANAND,Tamilaga Vettri Kazhagam,SMT.KAVITHA KALYANASUNDARAM,Dravida Munnetra Kazhagam,4340,21/26,Result in Progress
METTUR,85,VENKATACHALAM. G,All India Anna Dravida Munnetra Kazhagam,MIDHUN CHAKRAVARTHY. M,Dravida Munnetra Kazhagam,6219,18/24,Result in Progress
MODAKKURICHI,100,D.SHANMUGAN,Tamilaga Vettri Kazhagam,S.KIRTHIKA,Bharatiya Janata Party,2430,21/21,Result in Progress
MUDHUKULATHUR,212,R.S.RAJAKANNAPPAN,Dravida Munnetra Kazhagam,MALARVIZHI. B,Tamilaga Vettri Kazhagam,15916,28/32,Result in Progress
MUSIRI,145,M.VIGNESH,Tamilaga Vettri Kazhagam,N.S.KARUNAIRAAJA,Dravida Munnetra Kazhagam,17442,21/21,Result Declared
MYLAPORE,25,VENKATARAMANAN. P,Tamilaga Vettri Kazhagam,VELU. DHA,Dravida Munnetra Kazhagam,28972,21/21,Result Declared
NAGAPATTINAM,163,M.H.JAWAHIRULLAH,Dravida Munnetra Kazhagam,M.SUGUMAR,Tamilaga Vettri Kazhagam,9359,14/18,Result in Progress
NAGERCOIL,230,AUSTIN,Dravida Munnetra Kazhagam,BERVIN KINGS G,Tamilaga Vettri Kazhagam,7570,23/23,Result in Progress
NAMAKKAL,94,DILIP C S,Tamilaga Vettri Kazhagam,SRIDEVI MOHAN P S,All India Anna Dravida Munnetra Kazhagam,2841,12/23,Result in Progress
NANGUNERI,227,REDDIARPATTI V. NARAYANAN,Tamilaga Vettri Kazhagam,RUBY.R.MANOHARAN,Indian National Congress,16419,25/25,Result Declared
NANNILAM,169,KAMARAJ. R,All India Anna Dravida Munnetra Kazhagam,MOHAMED MUBARAK,Dravida Munnetra Kazhagam,41724,25/25,Result in Progress
NATHAM,131,NATHAM VISWANATHAN R,All India Anna Dravida Munnetra Kazhagam,SELVAKUMAR K,Dravida Munnetra Kazhagam,12764,24/26,Result in Progress
NEYVELI,153,RAJENDRAN.R,All India Anna Dravida Munnetra Kazhagam,SABA.RAJENDRAN,Dravida Munnetra Kazhagam,11034,19/19,Result in Progress
NILAKKOTTAI,130,AYYANAR.R,Tamilaga Vettri Kazhagam,NAGAJOTHI.S,Dravida Munnetra Kazhagam,3673,18/23,Result in Progress
ODDANCHATRAM,128,SAKKARAPANI. R,Dravida Munnetra Kazhagam,VIDIYAL S. SEKAR,Bharatiya Janata Party,43162,25/26,Result in Progress
OMALUR,84,MANI. R,All India Anna Dravida Munnetra Kazhagam,ADHIYAMAAN. R.V,Tamilaga Vettri Kazhagam,15037,24/26,Result in Progress
ORATHANADU,175,R. VAITHILINGAM,Dravida Munnetra Kazhagam,DR. K. ARVIND,Tamilaga Vettri Kazhagam,35028,24/24,Result in Progress
OTTAPIDARAM,217,P .MATHANRAJA,Tamilaga Vettri Kazhagam,P.M.RAMAJEYAM,Dravida Munnetra Kazhagam,25087,20/23,Result in Progress
PADMANABHAPURAM,232,CHELLASWAMY. R,Communist Party of India (Marxist),KRISHNA KUMAR. S,Tamilaga Vettri Kazhagam,16149,21/23,Result in Progress
PALACODU,57,ANBALAGAN. K.P.,All India Anna Dravida Munnetra Kazhagam,GOPI. R.,Tamilaga Vettri Kazhagam,39042,23/23,Result in Progress
PALANI,127,DR. PRAVEEN KUMAR. M,Tamilaga Vettri Kazhagam,RAVIMANOHARAN. K,All India Anna Dravida Munnetra Kazhagam,482,23/25,Result in Progress
PALAYAMKOTTAI,226,M.ABDUL WAHAB,Dravida Munnetra Kazhagam,MARIA JOHN,Tamilaga Vettri Kazhagam,13805,22/22,Result Declared
PALLADAM,115,K.RAMKUMAR,Tamilaga Vettri Kazhagam,K.P.PARAMASIVAM,All India Anna Dravida Munnetra Kazhagam,39563,33/35,Result in Progress
PALLAVARAM,30,J.KAMATCHI,Tamilaga Vettri Kazhagam,D.MURUGESAN,Desiya Murpokku Dravida Kazhagam,39403,23/34,Result in Progress
PANRUTI,154,MOHAN. K,All India Anna Dravida Munnetra Kazhagam,ABDUR RAHMAN. A.R,Viduthalai Chiruthaigal Katchi,10318,20/23,Result in Progress
PAPANASAM,172,A.M. SHAHJAHAN,Indian Union Muslim League,AZARUDEEN UDUMAN ALI,Tamilaga Vettri Kazhagam,4256,15/23,Result in Progress
PAPPIREDDIPATTI,60,MARAGATHAM VETRIVEL,All India Anna Dravida Munnetra Kazhagam,PALANIAPPAN. P,Dravida Munnetra Kazhagam,35320,21/23,Result in Progress
PARAMAKUDI,209,ADVOCATE. KATHIRAVAN. K.K,Dravida Munnetra Kazhagam,GOPIRAJAN. G,Tamilaga Vettri Kazhagam,2437,22/24,Result in Progress
PARAMATHI-VELUR,95,MOORTHIY K S,Dravida Munnetra Kazhagam,SEKAR S,All India Anna Dravida Munnetra Kazhagam,322,15/20,Result in Progress
PATTUKKOTTAI,176,ANNADURAI K,Dravida Munnetra Kazhagam,MATHAN C,Tamilaga Vettri Kazhagam,4819,19/23,Result in Progress
PENNAGARAM,58,GAJENDRAN. S.,Tamilaga Vettri Kazhagam,SELVAM. V.,Pattali Makkal Katchi,4710,21/23,Result in Progress
PERAMBALUR,147,SIVAKUMAR. K,Tamilaga Vettri Kazhagam,DR. JAYALAKSHMI. S.T,Dravida Munnetra Kazhagam,13775,26/28,Result in Progress
PERAMBUR,12,C. JOSEPH VIJAY,Tamilaga Vettri Kazhagam,R.D. SHEKAR,Dravida Munnetra Kazhagam,38927,16/22,Result in Progress
PERAVURANI,177,ASHOKKUMAR. N,Dravida Munnetra Kazhagam,GOVI.ELANGO,All India Anna Dravida Munnetra Kazhagam,1624,11/21,Result in Progress
PERIYAKULAM,199,SABARI IYNGARAN G.,Tamilaga Vettri Kazhagam,SAKTHIVEL P.,Viduthalai Chiruthaigal Katchi,11410,21/26,Result in Progress
PERUNDURAI,103,JAYAKUMAR. S,All India Anna Dravida Munnetra Kazhagam,THOPPU VENKATACHALAM (ALIAS) N.D. VENKATACHALAM,Dravida Munnetra Kazhagam,9810,21/22,Result in Progress
POLLACHI,123,K. NITHYANANDHAN,Dravida Munnetra Kazhagam,POLLACHI V. JAYARAMAN,All India Anna Dravida Munnetra Kazhagam,4627,22/22,Result in Progress
POLUR,66,ABISHEK. R,Tamilaga Vettri Kazhagam,SARAVANAN. P,Desiya Murpokku Dravida Kazhagam,316,12/22,Result in Progress
PONNERI,2,DR.RAVI.M.S,Tamilaga Vettri Kazhagam,DURAI CHANDRASEKAR,Indian National Congress,55529,24/24,Result in Progress
POOMPUHAR,162,NIVEDHA M MURUGAN,Dravida Munnetra Kazhagam,PAVUNRAJ. S,All India Anna Dravida Munnetra Kazhagam,5339,16/25,Result in Progress
POONAMALLEE,5,PRAKASAM.R,Tamilaga Vettri Kazhagam,KRISHNASWAMY.A,Dravida Munnetra Kazhagam,72740,25/25,Result in Progress
PUDUKKOTTAI,180,V. MUTHURAJA,Dravida Munnetra Kazhagam,K.M. SHARIFF,Tamilaga Vettri Kazhagam,3357,17/22,Result in Progress
RADHAPURAM,228,DR.SATHISH CHRISTOPHER,Tamilaga Vettri Kazhagam,APPAVU.M,Dravida Munnetra Kazhagam,12313,26/26,Result Declared
RAJAPALAYAM,202,JEGADESHWARI. K,Tamilaga Vettri Kazhagam,THANGAPANDIAN. S,Dravida Munnetra Kazhagam,10605,21/21,Result in Progress
RAMANATHAPURAM,211,KATHARBATCHA MUTHURAMALINGAM,Dravida Munnetra Kazhagam,SHAHUL HAMEED,Tamilaga Vettri Kazhagam,12459,31/31,Result in Progress
RANIPET,41,THAHIRA,Tamilaga Vettri Kazhagam,R. GANDHI,Dravida Munnetra Kazhagam,5787,22/22,Result in Progress
RASIPURAM,92,LOGESH TAMILSELVAN D,Tamilaga Vettri Kazhagam,PREMKUMAR S D,Bharatiya Janata Party,14511,21/21,Result Declared
RISHIVANDIYAM,78,KARTHIKEYAN K,Dravida Munnetra Kazhagam,ASHOK KUMAR G,Tamilaga Vettri Kazhagam,4360,17/25,Result in Progress
ROYAPURAM,17,K.V. VIJAY DAMU,Tamilaga Vettri Kazhagam,DR. A. SUBAIR KHAN,Dravida Munnetra Kazhagam,14249,15/15,Result in Progress
SAIDAPET,23,ARUL PRAKASAM. M,Tamilaga Vettri Kazhagam,SUBRAMANIAN. MA,Dravida Munnetra Kazhagam,28344,20/21,Result in Progress
SALEM (NORTH),89,SIVAKUMAR. K,Tamilaga Vettri Kazhagam,RAJENDRAN. R,Dravida Munnetra Kazhagam,11761,19/21,Result in Progress
SALEM (SOUTH),90,VIJAY TAMILAN PARTHIBAN. A,Tamilaga Vettri Kazhagam,LOGANATHAN. M,Dravida Munnetra Kazhagam,33369,20/20,Result in Progress
SALEM (WEST),88,LAKSHMANAN.S,Tamilaga Vettri Kazhagam,KARTHE.M,Pattali Makkal Katchi,70164,21/23,Result in Progress
SANKARANKOVIL,219,DR. DHILIPAN JAISHANKAR,All India Anna Dravida Munnetra Kazhagam,C. RAMARAJAN,Tamilaga Vettri Kazhagam,4958,19/23,Result in Progress
SANKARAPURAM,79,UDHAYASURIYAN T,Dravida Munnetra Kazhagam,RAKESH R,All India Anna Dravida Munnetra Kazhagam,133,14/25,Result in Progress
SANKARI,87,VETRIVEL. S,All India Anna Dravida Munnetra Kazhagam,SENTHILKUMAR. K,Tamilaga Vettri Kazhagam,9517,25/25,Result in Progress
SATTUR,204,KADARKARAIRAJ. A,Dravida Munnetra Kazhagam,NAINAR NAGENTHRAN,Bharatiya Janata Party,1181,13/21,Result in Progress
SENTHAMANGALAM,93,P CHANDRASEKAR,Tamilaga Vettri Kazhagam,C CHANDRASEKARAN,All India Anna Dravida Munnetra Kazhagam,2655,23/23,Result Declared
SHOLAVANDAN,190,KARUPPAIAH.M.V,Tamilaga Vettri Kazhagam,VENKATESAN.A,Dravida Munnetra Kazhagam,523,15/19,Result in Progress
SHOLINGUR,39,K.SARAVANAN,Pattali Makkal Katchi,G.KAPIL,Tamilaga Vettri Kazhagam,2905,14/25,Result in Progress
SHOZHINGANALLUR,27,ECR P SARAVANAN,Tamilaga Vettri Kazhagam,S. ARAVIND RAMESH,Dravida Munnetra Kazhagam,54970,18/30,Result in Progress
SINGANALLUR,121,K.S.SRI GIRI PRASATH,Tamilaga Vettri Kazhagam,K.R.JAYARAM,All India Anna Dravida Munnetra Kazhagam,21867,20/26,Result in Progress
SIRKAZHI,160,SENTHILSELVAN.R,Dravida Munnetra Kazhagam,GOPINATH.S,Tamilaga Vettri Kazhagam,9578,18/22,Result in Progress
SIVAGANGA,186,KULANTHAI RANI A,Tamilaga Vettri Kazhagam,SENTHILNATHAN PR,All India Anna Dravida Munnetra Kazhagam,16369,25/29,Result in Progress
SIVAKASI,205,KEERTHANA S,Tamilaga Vettri Kazhagam,ASHOKAN G,Indian National Congress,6815,13/21,Result in Progress
