Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
CHEYYAR,68,MUKKUR N. SUBRAMANIAN,All India Anna Dravida Munnetra Kazhagam,DUSI K MOHAN,Tamilaga Vettri Kazhagam,16511,19/24,Result in Progress
CHEYYUR,34,RAJASEKAR. E,All India Anna Dravida Munnetra Kazhagam,SINTHANAI SELVAN,Viduthalai Chiruthaigal Katchi,2543,15/21,Result in Progress
CHIDAMBARAM,158,PANDIAN. K.A,All India Anna Dravida Munnetra Kazhagam,THAMIMUN ANSARI. M,Dravida Munnetra Kazhagam,436,9/22,Result in Progress
COIMBATORE (NORTH),118,V. SAMPATHKUMAR,Tamilaga Vettri Kazhagam,DURAI. SENTHAMIL SELVAN B.E,Dravida Munnetra Kazhagam,5933,7/25,Result in Progress
COIMBATORE (SOUTH),120,V SENTHILBALAJI,Dravida Munnetra Kazhagam,V. SENTHILKUMAR,Tamilaga Vettri Kazhagam,821,8/20,Result in Progress
COLACHAL,231,THARAHAI CUTHBERT,Indian National Congress,PREM ALEX LAWRENCE,Tamilaga Vettri Kazhagam,3373,7/23,Result in Progress
COONOOR,110,M. RAJU,Dravida Munnetra Kazhagam,C. THANGARAJU,Tamilaga Vettri Kazhagam,6538,16/18,Result in Progress
CUDDALORE,155,B.RAJKUMAR,Tamilaga Vettri Kazhagam,A.S.CHANDARASEKARAN,Indian National Congress,1980,9/19,Result in Progress
CUMBUM,201,JEGANATHMISHRA PLA,Tamilaga Vettri Kazhagam,ERAMAKRISHNAN N,Dravida Munnetra Kazhagam,3918,9/25,Result in Progress
DHARAPURAM,101,SATHYABAMA.P,All India Anna Dravida Munnetra Kazhagam,INDIRANI.T,Dravida Munnetra Kazhagam,9057,14/23,Result in Progress
DHARMAPURI,59,SOWMIYA ANBUMANI,Pattali Makkal Katchi,SIVAN. M.,Tamilaga Vettri Kazhagam,6228,13/23,Result in Progress
DINDIGUL,132,NAZEER RAJA. G,Tamilaga Vettri Kazhagam,SENTHILKUMAR. I.P,Dravida Munnetra Kazhagam,1638,13/24,Result in Progress
DR.RADHAKRISHNAN NAGAR,11,N. MARIE WILSON,Tamilaga Vettri Kazhagam,J. JOHN EBENEZER,Dravida Munnetra Kazhagam,13161,6/18,Result in Progress
EDAPPADI,86,EDAPPADI PALANISWAMI. K,All India Anna Dravida Munnetra Kazhagam,PREMKUMAR. K,Independent,54458,14/25,Result in Progress
EGMORE,16,RAJMOHAN,Tamilaga Vettri Kazhagam,TAMILAN PRASANNA,Dravida Munnetra Kazhagam,10722,10/15,Result in Progress
ERODE (EAST),98,M.VIJAY BALAJI,Tamilaga Vettri Kazhagam,GOPINATH PALANIYAPPAN,Indian National Congress,16626,11/19,Result in Progress
ERODE (WEST),99,ANANTH MOGHAN K.K.,Tamilaga Vettri Kazhagam,S. MUTHUSAMY,Dravida Munnetra Kazhagam,11184,9/24,Result in Progress
GANDHARVAKOTTAI,178,N. SUBRAMANIAN,Tamilaga Vettri Kazhagam,C. UTHAYAKUMAR,Bharatiya Janata Party,5083,7/18,Result in Progress
GANGAVALLI,81,NALLATHAMBI. A,All India Anna Dravida Munnetra Kazhagam,CHINNADURAI. K,Dravida Munnetra Kazhagam,10693,10/20,Result in Progress
GINGEE,70,GANESHKUMAR A,Pattali Makkal Katchi,GINGEE MASTHAN K S,Dravida Munnetra Kazhagam,4912,6/23,Result in Progress
GOBICHETTIPALAYAM,106,SENGOTTAIYAN.K.A,Tamilaga Vettri Kazhagam,NALLASIVAM.N,Dravida Munnetra Kazhagam,11074,14/23,Result in Progress
GUDALUR,109,DHRAVIDAMANI.M,Dravida Munnetra Kazhagam,PON.JAYASEELAN,All India Anna Dravida Munnetra Kazhagam,22833,18/18,Result in Progress
GUDIYATTAM,46,K.SINDU,Tamilaga Vettri Kazhagam,PARITHA PURUSHOTHAMAN.G,All India Anna Dravida Munnetra Kazhagam,4532,10/23,Result in Progress
GUMMIDIPOONDI,1,S.VIJAYAKUMAR,Tamilaga Vettri Kazhagam,SUDHAKAR.V,All India Anna Dravida Munnetra Kazhagam,11906,10/25,Result in Progress
HARBOUR,18,P K SEKARBABU,Dravida Munnetra Kazhagam,SINORA P S ASHOK,Tamilaga Vettri Kazhagam,4706,7/14,Result in Progress
HARUR,61,SAMPATHKUMAR. V,All India Anna Dravida Munnetra Kazhagam,SHANMUGAM. A,Dravida Munnetra Kazhagam,5663,17/23,Result in Progress
HOSUR,55,BALAKRISHNAREDDY. P,All India Anna Dravida Munnetra Kazhagam,SATHYA.S.A.,Dravida Munnetra Kazhagam,25159,13/34,Result in Progress
JAYANKONDAM,150,VAITHILINGAM G.,Pattali Makkal Katchi,KANNAN KA.SO.KA.,Dravida Munnetra Kazhagam,10583,12/23,Result in Progress
JOLARPET,49,VEERAMANI K.C.,All India Anna Dravida Munnetra Kazhagam,MUNISAMY C,Tamilaga Vettri Kazhagam,6986,9/21,Result in Progress
KADAYANALLUR,221,RAJENDRAN. T. M,Dravida Munnetra Kazhagam,C. KRISHNAMURALI,All India Anna Dravida Munnetra Kazhagam,1912,10/26,Result in Progress
KALASAPAKKAM,65,AGRI KRISHNAMURTHY. S S,All India Anna Dravida Munnetra Kazhagam,SARAVANAN. P.S.T,Dravida Munnetra Kazhagam,14412,11/22,Result in Progress
KALLAKURICHI,80,ARUL VIGNESH C,Tamilaga Vettri Kazhagam,MALATHI K,Viduthalai Chiruthaigal Katchi,1259,6/27,Result in Progress
KANCHEEPURAM,37,R.V. RANJITHKUMAR,Tamilaga Vettri Kazhagam,V. SOMASUNDARAM,All India Anna Dravida Munnetra Kazhagam,2044,9/26,Result in Progress
KANGAYAM,102,NSN NATARAJ,All India Anna Dravida Munnetra Kazhagam,MANI GOUNDER,Tamilaga Vettri Kazhagam,3853,11/23,Result in Progress
KANNIYAKUMARI,229,THALAVAI SUNDARAM. N,All India Anna Dravida Munnetra Kazhagam,MAHESH.R,Dravida Munnetra Kazhagam,138,10/26,Result in Progress
KARAIKUDI,184,DR.PRABHU. TK,Tamilaga Vettri Kazhagam,MANGUDI. S,Indian National Congress,17895,10/28,Result in Progress
KARUR,135,M.R. VIJAYABHASKAR,All India Anna Dravida Munnetra Kazhagam,AASEE.M. THIAGARAJAN,Dravida Munnetra Kazhagam,3121,8/21,Result in Progress
KATPADI,40,V. RAMU,All India Anna Dravida Munnetra Kazhagam,DURAIMURUGAN,Dravida Munnetra Kazhagam,7634,7/20,Result in Progress
KATTUMANNARKOIL,159,L.E. JOTHIMANI,Viduthalai Chiruthaigal Katchi,A. SOZHAN,Pattali Makkal Katchi,6013,8/21,Result in Progress
KAVUNDAMPALAYAM,117,KANIMOZHI SANTHOSH,Tamilaga Vettri Kazhagam,ARUNKUMAR PRG,All India Anna Dravida Munnetra Kazhagam,30820,20/28,Result in Progress
KILLIYOOR,234,SABIN. S,Tamilaga Vettri Kazhagam,RAJESH KUMAR. S,Indian National Congress,774,10/22,Result in Progress
KILPENNATHUR,64,RAMACHANDRAN.S,All India Anna Dravida Munnetra Kazhagam,PITCHANDI.K,Dravida Munnetra Kazhagam,26000,14/22,Result in Progress
KILVAITHINANKUPPAM,45,THENRAL KUMAR. E,Tamilaga Vettri Kazhagam,JEGAN MOORTHY. M,All India Anna Dravida Munnetra Kazhagam,5556,6/19,Result in Progress
KILVELUR,164,SENTHIL PANDIAN. P,Tamilaga Vettri Kazhagam,LATHA. T,Communist Party of India (Marxist),1667,9/16,Result in Progress
KINATHUKADAVU,122,VIGNESH K,Tamilaga Vettri Kazhagam,SABARI KARTHIKEYAN K.V.K.S,Dravida Munnetra Kazhagam,11230,20/28,Result in Progress
KOLATHUR,13,V. S. BABU,Tamilaga Vettri Kazhagam,M. K. STALIN,Dravida Munnetra Kazhagam,8048,12/22,Result in Progress
KOVILPATTI,218,KARUNANITHI.K,Dravida Munnetra Kazhagam,KADAMBUR RAJU.C,All India Anna Dravida Munnetra Kazhagam,2951,8/23,Result in Progress
KRISHNAGIRI,53,MUKUNDHAN.P,Tamilaga Vettri Kazhagam,ASHOKKUMAR.K,All India Anna Dravida Munnetra Kazhagam,17967,16/25,Result in Progress
KRISHNARAYAPURAM,136,SATHYA. M,Tamilaga Vettri Kazhagam,DR. DHIVYA. S,All India Anna Dravida Munnetra Kazhagam,2216,9/20,Result in Progress
KULITHALAI,137,G.BALASUBRAMANI,Tamilaga Vettri Kazhagam,SURIYANUR. A. CHANDRAN,Dravida Munnetra Kazhagam,530,10/21,Result in Progress
KUMARAPALAYAM,97,C.VIJAYALAKSHMI,Tamilaga Vettri Kazhagam,P.THANGAMANI,All India Anna Dravida Munnetra Kazhagam,3205,9/24,Result in Progress
KUMBAKONAM,171,ANBALAGAN G,Dravida Munnetra Kazhagam,VINOTH,Tamilaga Vettri Kazhagam,1314,16/22,Result in Progress
KUNNAM,148,SIVASANKAR. S.S,Dravida Munnetra Kazhagam,SARANYA. A,All India Anna Dravida Munnetra Kazhagam,13474,13/25,Result in Progress
KURINJIPADI,156,M.R.K.PANNEERSELVAM,Dravida Munnetra Kazhagam,A BHUVANENTHIRAN,All India Anna Dravida Munnetra Kazhagam,522,12/20,Result in Progress
LALGUDI,143,LEEMAROSE MARTIN,All India Anna Dravida Munnetra Kazhagam,KU PA KRISHNAN,Tamilaga Vettri Kazhagam,2806,10/20,Result in Progress
MADATHUKULAM,126,R JAYARAMAKRISHNAN,Dravida Munnetra Kazhagam,C SHANMUGAVELU,Amma Makkal Munnettra Kazagam,691,8/21,Result in Progress
MADAVARAM,9,M.L.VIJAYPRABHU,Tamilaga Vettri Kazhagam,S.SUDHARSANAM,Dravida Munnetra Kazhagam,61467,13/19,Result in Progress
MADURAI CENTRAL,193,MADHAR BADHURUDEEN,Tamilaga Vettri Kazhagam,SUNDAR C,All India Anna Dravida Munnetra Kazhagam,12896,7/19,Result in Progress
MADURAI EAST,189,KARTHIKEYAN S,Tamilaga Vettri Kazhagam,MOORTHY P,Dravida Munnetra Kazhagam,5742,14/29,Result in Progress
MADURAI NORTH,191,A.KALLANAI,Tamilaga Vettri Kazhagam,G.THALAPATHI,Dravida Munnetra Kazhagam,13514,10/19,Result in Progress
MADURAI SOUTH,192,M.M.GOPISON,Tamilaga Vettri Kazhagam,M.BOOMINATHAN,Dravida Munnetra Kazhagam,14180,13/17,Result in Progress
MADURAI WEST,194,THANGAPANDI SR,Tamilaga Vettri Kazhagam,BALAJI R,Dravida Munnetra Kazhagam,2289,11/24,Result in Progress
MADURANTAKAM,35,MARAGATHAM KUMARAVEL.K,All India Anna Dravida Munnetra Kazhagam,EZHIL KATHARINE EZHILMALAI,Tamilaga Vettri Kazhagam,1424,11/21,Result in Progress
MADURAVOYAL,7,RHEVANTH CHARAN,Tamilaga Vettri Kazhagam,GANAPATHY. K,Dravida Munnetra Kazhagam,19158,7/25,Result in Progress
MAILAM,71,SHANMUGAM C VE,All India Anna Dravida Munnetra Kazhagam,VIJAY NIRANJAN A,Tamilaga Vettri Kazhagam,20405,12/20,Result in Progress
MANACHANALLUR,144,KATHIRAVAN. S,Dravida Munnetra Kazhagam,V.SARAVANAN,Tamilaga Vettri Kazhagam,9581,16/22,Result in Progress
MANAMADURAI,187,ELANGOVAN.D,Tamilaga Vettri Kazhagam,TAMILARASI.A,Dravida Munnetra Kazhagam,4087,7/27,Result in Progress
MANAPPARAI,138,R. KATHIRAVAN,Tamilaga Vettri Kazhagam,DR. PL. VIJAYAKUMAR,All India Anna Dravida Munnetra Kazhagam,3087,15/25,Result in Progress
MANNARGUDI,167,KAMARAJ. S,Amma Makkal Munnettra Kazagam,RAJAA.T.R.B,Dravida Munnetra Kazhagam,3165,12/22,Result in Progress
MAYILADUTHURAI,161,JAMAL MOHAMED YOUNOOS. Y.N,Indian National Congress,PALANISAMY. A  M.COM.,Pattali Makkal Katchi,6014,8/22,Result in Progress
MELUR,188,P.VISWANATHAN,Indian National Congress,A.MADURAIVEERAN,Tamilaga Vettri Kazhagam,3093,18/21,Result in Progress
METTUPPALAYAM,111,SMT.KAVITHA KALYANASUNDARAM,Dravida Munnetra Kazhagam,SUNILANAND,Tamilaga Vettri Kazhagam,2712,10/26,Result in Progress
METTUR,85,MIDHUN CHAKRAVARTHY. M,Dravida Munnetra Kazhagam,VENKATACHALAM. G,All India Anna Dravida Munnetra Kazhagam,597,9/24,Result in Progress
MODAKKURICHI,100,D.SHANMUGAN,Tamilaga Vettri Kazhagam,S.KIRTHIKA,Bharatiya Janata Party,3820,12/21,Result in Progress
MUDHUKULATHUR,212,R.S.RAJAKANNAPPAN,Dravida Munnetra Kazhagam,MALARVIZHI. B,Tamilaga Vettri Kazhagam,7815,15/30,Result in Progress
MUSIRI,145,M.VIGNESH,Tamilaga Vettri Kazhagam,N.YOGANATHAN,All India Anna Dravida Munnetra Kazhagam,12453,14/21,Result in Progress
MYLAPORE,25,VENKATARAMANAN. P,Tamilaga Vettri Kazhagam,VELU. DHA,Dravida Munnetra Kazhagam,19501,13/20,Result in Progress
NAGAPATTINAM,163,M.H.JAWAHIRULLAH,Dravida Munnetra Kazhagam,THANKA.KATHIRAVAN,All India Anna Dravida Munnetra Kazhagam,6096,5/18,Result in Progress
NAGERCOIL,230,BERVIN KINGS G,Tamilaga Vettri Kazhagam,AUSTIN,Dravida Munnetra Kazhagam,66,10/23,Result in Progress
NAMAKKAL,94,DILIP C S,Tamilaga Vettri Kazhagam,SRIDEVI MOHAN P S,All India Anna Dravida Munnetra Kazhagam,49,8/23,Result in Progress
NANGUNERI,227,REDDIARPATTI V. NARAYANAN,Tamilaga Vettri Kazhagam,RUBY.R.MANOHARAN,Indian National Congress,7533,17/25,Result in Progress
NANNILAM,169,KAMARAJ. R,All India Anna Dravida Munnetra Kazhagam,MOHAMED MUBARAK,Dravida Munnetra Kazhagam,24173,14/25,Result in Progress
NATHAM,131,NATHAM VISWANATHAN R,All India Anna Dravida Munnetra Kazhagam,RAMESH L N,Tamilaga Vettri Kazhagam,4323,12/26,Result in Progress
NEYVELI,153,RAJENDRAN.R,All India Anna Dravida Munnetra Kazhagam,SABA.RAJENDRAN,Dravida Munnetra Kazhagam,11972,14/19,Result in Progress
NILAKKOTTAI,130,NAGAJOTHI.S,Dravida Munnetra Kazhagam,AYYANAR.R,Tamilaga Vettri Kazhagam,3366,9/23,Result in Progress
ODDANCHATRAM,128,SAKKARAPANI. R,Dravida Munnetra Kazhagam,VIDIYAL S. SEKAR,Bharatiya Janata Party,22813,12/24,Result in Progress
OMALUR,84,MANI. R,All India Anna Dravida Munnetra Kazhagam,ADHIYAMAAN. R.V,Tamilaga Vettri Kazhagam,3727,12/26,Result in Progress
ORATHANADU,175,R. VAITHILINGAM,Dravida Munnetra Kazhagam,DR. K. ARVIND,Tamilaga Vettri Kazhagam,19449,14/23,Result in Progress
OTTAPIDARAM,217,P .MATHANRAJA,Tamilaga Vettri Kazhagam,P.M.RAMAJEYAM,Dravida Munnetra Kazhagam,17875,11/23,Result in Progress
PADMANABHAPURAM,232,CHELLASWAMY. R,Communist Party of India (Marxist),KRISHNA KUMAR. S,Tamilaga Vettri Kazhagam,7993,12/23,Result in Progress
PALACODU,57,ANBALAGAN. K.P.,All India Anna Dravida Munnetra Kazhagam,GOPI. R.,Tamilaga Vettri Kazhagam,21627,13/23,Result in Progress
PALANI,127,RAVIMANOHARAN. K,All India Anna Dravida Munnetra Kazhagam,DR. PRAVEEN KUMAR. M,Tamilaga Vettri Kazhagam,342,11/25,Result in Progress
PALAYAMKOTTAI,226,MARIA JOHN,Tamilaga Vettri Kazhagam,M.ABDUL WAHAB,Dravida Munnetra Kazhagam,8811,16/22,Result in Progress
PALLADAM,115,K.RAMKUMAR,Tamilaga Vettri Kazhagam,K.P.PARAMASIVAM,All India Anna Dravida Munnetra Kazhagam,12266,14/35,Result in Progress
PALLAVARAM,30,J.KAMATCHI,Tamilaga Vettri Kazhagam,D.MURUGESAN,Desiya Murpokku Dravida Kazhagam,19916,12/34,Result in Progress
PANRUTI,154,MOHAN. K,All India Anna Dravida Munnetra Kazhagam,ABDUR RAHMAN. A.R,Viduthalai Chiruthaigal Katchi,4658,14/23,Result in Progress
PAPANASAM,172,DORAI. SHANMUGA PRABU,All India Anna Dravida Munnetra Kazhagam,A.M. SHAHJAHAN,Indian Union Muslim League,1487,7/23,Result in Progress
PAPPIREDDIPATTI,60,MARAGATHAM VETRIVEL,All India Anna Dravida Munnetra Kazhagam,PALANIAPPAN. P,Dravida Munnetra Kazhagam,33492,14/23,Result in Progress
PARAMAKUDI,209,GOPIRAJAN. G,Tamilaga Vettri Kazhagam,ADVOCATE. KATHIRAVAN. K.K,Dravida Munnetra Kazhagam,1730,13/24,Result in Progress
PARAMATHI-VELUR,95,MOORTHIY K S,Dravida Munnetra Kazhagam,SEKAR S,All India Anna Dravida Munnetra Kazhagam,1323,8/20,Result in Progress
PATTUKKOTTAI,176,ANNADURAI K,Dravida Munnetra Kazhagam,SEKAR C V,All India Anna Dravida Munnetra Kazhagam,2919,8/23,Result in Progress
PENNAGARAM,58,SELVAM. V.,Pattali Makkal Katchi,GAJENDRAN. S.,Tamilaga Vettri Kazhagam,5684,7/23,Result in Progress
PERAMBALUR,147,SIVAKUMAR. K,Tamilaga Vettri Kazhagam,DR. JAYALAKSHMI. S.T,Dravida Munnetra Kazhagam,5750,15/28,Result in Progress
PERAMBUR,12,C. JOSEPH VIJAY,Tamilaga Vettri Kazhagam,R.D. SHEKAR,Dravida Munnetra Kazhagam,19100,8/22,Result in Progress
PERAVURANI,177,GOVI.ELANGO,All India Anna Dravida Munnetra Kazhagam,ASHOKKUMAR. N,Dravida Munnetra Kazhagam,1142,5/21,Result in Progress
PERIYAKULAM,199,SABARI IYNGARAN G.,Tamilaga Vettri Kazhagam,SAKTHIVEL P.,Viduthalai Chiruthaigal Katchi,1884,9/26,Result in Progress
PERUNDURAI,103,JAYAKUMAR. S,All India Anna Dravida Munnetra Kazhagam,THOPPU VENKATACHALAM (ALIAS) N.D. VENKATACHALAM,Dravida Munnetra Kazhagam,4269,11/21,Result in Progress
POLLACHI,123,POLLACHI V. JAYARAMAN,All India Anna Dravida Munnetra Kazhagam,K. NITHYANANDHAN,Dravida Munnetra Kazhagam,535,14/20,Result in Progress
POLUR,66,ABISHEK. R,Tamilaga Vettri Kazhagam,SARAVANAN. P,Desiya Murpokku Dravida Kazhagam,1854,7/22,Result in Progress
PONNERI,2,DR.RAVI.M.S,Tamilaga Vettri Kazhagam,BALARAMAN.P,All India Anna Dravida Munnetra Kazhagam,25979,12/24,Result in Progress
POOMPUHAR,162,PAVUNRAJ. S,All India Anna Dravida Munnetra Kazhagam,NIVEDHA M MURUGAN,Dravida Munnetra Kazhagam,1388,10/25,Result in Progress
POONAMALLEE,5,PRAKASAM.R,Tamilaga Vettri Kazhagam,KRISHNASWAMY.A,Dravida Munnetra Kazhagam,37823,11/23,Result in Progress
PUDUKKOTTAI,180,V. MUTHURAJA,Dravida Munnetra Kazhagam,K.M. SHARIFF,Tamilaga Vettri Kazhagam,675,10/22,Result in Progress
RADHAPURAM,228,DR.SATHISH CHRISTOPHER,Tamilaga Vettri Kazhagam,APPAVU.M,Dravida Munnetra Kazhagam,6870,18/24,Result in Progress
RAJAPALAYAM,202,JEGADESHWARI. K,Tamilaga Vettri Kazhagam,THANGAPANDIAN. S,Dravida Munnetra Kazhagam,9331,11/20,Result in Progress
RAMANATHAPURAM,211,KATHARBATCHA MUTHURAMALINGAM,Dravida Munnetra Kazhagam,SHAHUL HAMEED,Tamilaga Vettri Kazhagam,11440,18/29,Result in Progress
RANIPET,41,R. GANDHI,Dravida Munnetra Kazhagam,THAHIRA,Tamilaga Vettri Kazhagam,6308,10/22,Result in Progress
RASIPURAM,92,LOGESH TAMILSELVAN D,Tamilaga Vettri Kazhagam,MATHIVENTHAN M DR,Dravida Munnetra Kazhagam,8970,11/21,Result in Progress
RISHIVANDIYAM,78,KARTHIKEYAN K,Dravida Munnetra Kazhagam,ASHOK KUMAR G,Tamilaga Vettri Kazhagam,1211,8/25,Result in Progress
ROYAPURAM,17,K.V. VIJAY DAMU,Tamilaga Vettri Kazhagam,DR. A. SUBAIR KHAN,Dravida Munnetra Kazhagam,12633,9/14,Result in Progress
SAIDAPET,23,ARUL PRAKASAM. M,Tamilaga Vettri Kazhagam,SUBRAMANIAN. MA,Dravida Munnetra Kazhagam,16067,10/21,Result in Progress
SALEM (NORTH),89,SIVAKUMAR. K,Tamilaga Vettri Kazhagam,RAJENDRAN. R,Dravida Munnetra Kazhagam,4451,9/21,Result in Progress
SALEM (SOUTH),90,VIJAY TAMILAN PARTHIBAN. A,Tamilaga Vettri Kazhagam,LOGANATHAN. M,Dravida Munnetra Kazhagam,22547,11/20,Result in Progress
SALEM (WEST),88,LAKSHMANAN.S,Tamilaga Vettri Kazhagam,KARTHE.M,Pattali Makkal Katchi,22570,7/23,Result in Progress
SANKARANKOVIL,219,DR. DHILIPAN JAISHANKAR,All India Anna Dravida Munnetra Kazhagam,C. RAMARAJAN,Tamilaga Vettri Kazhagam,1530,13/23,Result in Progress
SANKARAPURAM,79,UDHAYASURIYAN T,Dravida Munnetra Kazhagam,RAKESH R,All India Anna Dravida Munnetra Kazhagam,254,7/25,Result in Progress
SANKARI,87,VETRIVEL. S,All India Anna Dravida Munnetra Kazhagam,SENTHILKUMAR. K,Tamilaga Vettri Kazhagam,3516,13/25,Result in Progress
SATTUR,204,AJITH. M,Tamilaga Vettri Kazhagam,KADARKARAIRAJ. A,Dravida Munnetra Kazhagam,654,4/21,Result in Progress
SENTHAMANGALAM,93,C CHANDRASEKARAN,All India Anna Dravida Munnetra Kazhagam,P POOMALAR,Dravida Munnetra Kazhagam,2779,11/22,Result in Progress
SHOLAVANDAN,190,KARUPPAIAH.M.V,Tamilaga Vettri Kazhagam,VENKATESAN.A,Dravida Munnetra Kazhagam,385,6/19,Result in Progress
SHOLINGUR,39,G.KAPIL,Tamilaga Vettri Kazhagam,A.M.MUNIRATHINAM,Indian National Congress,3838,7/25,Result in Progress
SHOZHINGANALLUR,27,ECR P SARAVANAN,Tamilaga Vettri Kazhagam,S. ARAVIND RAMESH,Dravida Munnetra Kazhagam,20229,7/30,Result in Progress
SINGANALLUR,121,K.S.SRI GIRI PRASATH,Tamilaga Vettri Kazhagam,K.R.JAYARAM,All India Anna Dravida Munnetra Kazhagam,11164,11/26,Result in Progress
SIRKAZHI,160,SENTHILSELVAN.R,Dravida Munnetra Kazhagam,GOPINATH.S,Tamilaga Vettri Kazhagam,7337,14/22,Result in Progress
SIVAGANGA,186,KULANTHAI RANI A,Tamilaga Vettri Kazhagam,SENTHILNATHAN PR,All India Anna Dravida Munnetra Kazhagam,5936,10/29,Result in Progress
